x,y,powerXtoY
1.31934,4.10954,3.12328
4.05242,4.08629,304.297
3.24894,4.86559,308.976
0.969385,2.4481,0.926705
0.182998,0.646154,0.333754
4.90802,4.10111,681.527
2.31969,2.09662,5.83671
2.8819,1.0905,3.17161
3.09606,0.409003,1.58761
4.11942,0.0149667,1.02141
1.54503,2.24506,2.65567
2.7571,3.58836,38.0629
4.61133,2.61481,54.4226
2.13159,0.599773,1.57452
0.387555,3.63403,0.0319147
2.13949,3.38681,13.1431
2.05462,2.00569,4.2388
4.64078,2.65243,58.6254
4.36456,0.132048,1.21479
4.3233,1.63762,10.9957
3.54669,4.15003,191.33
4.52995,4.89828,1635.8
0.408603,2.39641,0.11709
1.4242,1.46115,1.67645
2.60874,0.0448187,1.04391
